# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
# RefSeq assembly accession: GCF_000001405.40
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.16	Primary Assembly
## GCA_000005045.27	GCF_000005045.26	PATCHES
## GCA_000001315.2	GCF_000001315.3	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HSCHR5_3_CTG1	alt-scaffold	5	Chromosome	KI270791.1	=	NT_187547.1	ALT_REF_LOCI_1	195710	chr5_KI270791v1_alt
HSCHR5_4_CTG1	alt-scaffold	5	Chromosome	KI270792.1	=	NT_187548.1	ALT_REF_LOCI_1	179043	chr5_KI270792v1_alt
HSCHR5_5_CTG1	alt-scaffold	5	Chromosome	KI270793.1	=	NT_187550.1	ALT_REF_LOCI_1	126136	chr5_KI270793v1_alt
HSCHR5_6_CTG1	alt-scaffold	5	Chromosome	KI270794.1	=	NT_187551.1	ALT_REF_LOCI_1	164558	chr5_KI270794v1_alt
HSCHR5_2_CTG5	alt-scaffold	5	Chromosome	KI270795.1	=	NT_187546.1	ALT_REF_LOCI_1	131892	chr5_KI270795v1_alt
HSCHR5_4_CTG1_1	alt-scaffold	5	Chromosome	KI270796.1	=	NT_187549.1	ALT_REF_LOCI_1	172708	chr5_KI270796v1_alt
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	Chromosome	GL000250.2	=	NT_167244.2	ALT_REF_LOCI_1	4672374	chr6_GL000250v2_alt
HSCHR6_1_CTG2	alt-scaffold	6	Chromosome	GL383533.1	=	NW_003315921.1	ALT_REF_LOCI_1	124736	chr6_GL383533v1_alt
HSCHR6_1_CTG3	alt-scaffold	6	Chromosome	KB021644.2	=	NW_004166862.2	ALT_REF_LOCI_1	185823	chr6_KB021644v2_alt
HSCHR6_1_CTG4	alt-scaffold	6	Chromosome	KI270797.1	=	NT_187552.1	ALT_REF_LOCI_1	197536	chr6_KI270797v1_alt
HSCHR6_1_CTG5	alt-scaffold	6	Chromosome	KI270798.1	=	NT_187553.1	ALT_REF_LOCI_1	271782	chr6_KI270798v1_alt
HSCHR6_1_CTG6	alt-scaffold	6	Chromosome	KI270799.1	=	NT_187554.1	ALT_REF_LOCI_1	152148	chr6_KI270799v1_alt
HSCHR6_1_CTG7	alt-scaffold	6	Chromosome	KI270800.1	=	NT_187555.1	ALT_REF_LOCI_1	175808	chr6_KI270800v1_alt
HSCHR6_1_CTG8	alt-scaffold	6	Chromosome	KI270801.1	=	NT_187556.1	ALT_REF_LOCI_1	870480	chr6_KI270801v1_alt
HSCHR6_1_CTG9	alt-scaffold	6	Chromosome	KI270802.1	=	NT_187557.1	ALT_REF_LOCI_1	75005	chr6_KI270802v1_alt
HSCHR7_1_CTG6	alt-scaffold	7	Chromosome	GL383534.2	=	NW_003315922.2	ALT_REF_LOCI_1	119183	chr7_GL383534v2_alt
HSCHR7_2_CTG6	alt-scaffold	7	Chromosome	KI270803.1	=	NT_187562.1	ALT_REF_LOCI_1	1111570	chr7_KI270803v1_alt
HSCHR7_1_CTG1	alt-scaffold	7	Chromosome	KI270804.1	=	NT_187558.1	ALT_REF_LOCI_1	157952	chr7_KI270804v1_alt
HSCHR7_1_CTG7	alt-scaffold	7	Chromosome	KI270805.1	=	NT_187560.1	ALT_REF_LOCI_1	209988	chr7_KI270805v1_alt
HSCHR7_1_CTG4_4	alt-scaffold	7	Chromosome	KI270806.1	=	NT_187559.1	ALT_REF_LOCI_1	158166	chr7_KI270806v1_alt
HSCHR7_2_CTG7	alt-scaffold	7	Chromosome	KI270807.1	=	NT_187563.1	ALT_REF_LOCI_1	126434	chr7_KI270807v1_alt
HSCHR7_3_CTG6	alt-scaffold	7	Chromosome	KI270808.1	=	NT_187564.1	ALT_REF_LOCI_1	271455	chr7_KI270808v1_alt
HSCHR7_2_CTG4_4	alt-scaffold	7	Chromosome	KI270809.1	=	NT_187561.1	ALT_REF_LOCI_1	209586	chr7_KI270809v1_alt
HSCHR8_1_CTG7	alt-scaffold	8	Chromosome	KI270810.1	=	NT_187567.1	ALT_REF_LOCI_1	374415	chr8_KI270810v1_alt
HSCHR8_1_CTG1	alt-scaffold	8	Chromosome	KI270811.1	=	NT_187565.1	ALT_REF_LOCI_1	292436	chr8_KI270811v1_alt
HSCHR8_2_CTG1	alt-scaffold	8	Chromosome	KI270812.1	=	NT_187568.1	ALT_REF_LOCI_1	282736	chr8_KI270812v1_alt
HSCHR8_3_CTG1	alt-scaffold	8	Chromosome	KI270813.1	=	NT_187570.1	ALT_REF_LOCI_1	300230	chr8_KI270813v1_alt
HSCHR8_1_CTG6	alt-scaffold	8	Chromosome	KI270814.1	=	NT_187566.1	ALT_REF_LOCI_1	141812	chr8_KI270814v1_alt
HSCHR8_2_CTG7	alt-scaffold	8	Chromosome	KI270815.1	=	NT_187569.1	ALT_REF_LOCI_1	132244	chr8_KI270815v1_alt
HSCHR8_3_CTG7	alt-scaffold	8	Chromosome	KI270816.1	=	NT_187571.1	ALT_REF_LOCI_1	305841	chr8_KI270816v1_alt
HSCHR8_4_CTG7	alt-scaffold	8	Chromosome	KI270817.1	=	NT_187573.1	ALT_REF_LOCI_1	158983	chr8_KI270817v1_alt
HSCHR8_4_CTG1	alt-scaffold	8	Chromosome	KI270818.1	=	NT_187572.1	ALT_REF_LOCI_1	145606	chr8_KI270818v1_alt
HSCHR8_5_CTG7	alt-scaffold	8	Chromosome	KI270819.1	=	NT_187574.1	ALT_REF_LOCI_1	133535	chr8_KI270819v1_alt
HSCHR8_6_CTG7	alt-scaffold	8	Chromosome	KI270820.1	=	NT_187575.1	ALT_REF_LOCI_1	36640	chr8_KI270820v1_alt
HSCHR8_8_CTG1	alt-scaffold	8	Chromosome	KI270821.1	=	NT_187576.1	ALT_REF_LOCI_1	985506	chr8_KI270821v1_alt
HSCHR8_9_CTG1	alt-scaffold	8	Chromosome	KI270822.1	=	NT_187577.1	ALT_REF_LOCI_1	624492	chr8_KI270822v1_alt
HSCHR9_1_CTG1	alt-scaffold	9	Chromosome	GL383539.1	=	NW_003315928.1	ALT_REF_LOCI_1	162988	chr9_GL383539v1_alt
HSCHR9_1_CTG2	alt-scaffold	9	Chromosome	GL383540.1	=	NW_003315929.1	ALT_REF_LOCI_1	71551	chr9_GL383540v1_alt
HSCHR9_1_CTG3	alt-scaffold	9	Chromosome	GL383541.1	=	NW_003315930.1	ALT_REF_LOCI_1	171286	chr9_GL383541v1_alt
HSCHR9_1_CTG4	alt-scaffold	9	Chromosome	GL383542.1	=	NW_003315931.1	ALT_REF_LOCI_1	60032	chr9_GL383542v1_alt
HSCHR9_1_CTG5	alt-scaffold	9	Chromosome	KI270823.1	=	NT_187578.1	ALT_REF_LOCI_1	439082	chr9_KI270823v1_alt
HSCHR10_1_CTG1	alt-scaffold	10	Chromosome	GL383545.1	=	NW_003315934.1	ALT_REF_LOCI_1	179254	chr10_GL383545v1_alt
HSCHR10_1_CTG2	alt-scaffold	10	Chromosome	GL383546.1	=	NW_003315935.1	ALT_REF_LOCI_1	309802	chr10_GL383546v1_alt
HSCHR10_1_CTG3	alt-scaffold	10	Chromosome	KI270824.1	=	NT_187579.1	ALT_REF_LOCI_1	181496	chr10_KI270824v1_alt
HSCHR10_1_CTG4	alt-scaffold	10	Chromosome	KI270825.1	<>	na	ALT_REF_LOCI_1	188315	chr10_KI270825v1_alt
HSCHR11_1_CTG1_1	alt-scaffold	11	Chromosome	GL383547.1	=	NW_003315936.1	ALT_REF_LOCI_1	154407	chr11_GL383547v1_alt
HG142_HG150_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159136.1	=	NW_003871073.1	ALT_REF_LOCI_1	200998	chr11_JH159136v1_alt
HG151_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159137.1	=	NW_003871074.1	ALT_REF_LOCI_1	191409	chr11_JH159137v1_alt
HSCHR11_1_CTG2	alt-scaffold	11	Chromosome	KI270826.1	=	NT_187581.1	ALT_REF_LOCI_1	186169	chr11_KI270826v1_alt
HSCHR11_1_CTG3	alt-scaffold	11	Chromosome	KI270827.1	=	NT_187582.1	ALT_REF_LOCI_1	67707	chr11_KI270827v1_alt
HSCHR11_1_CTG5	alt-scaffold	11	Chromosome	KI270829.1	=	NT_187583.1	ALT_REF_LOCI_1	204059	chr11_KI270829v1_alt
HSCHR11_1_CTG6	alt-scaffold	11	Chromosome	KI270830.1	=	NT_187584.1	ALT_REF_LOCI_1	177092	chr11_KI270830v1_alt
HSCHR11_1_CTG7	alt-scaffold	11	Chromosome	KI270831.1	=	NT_187585.1	ALT_REF_LOCI_1	296895	chr11_KI270831v1_alt
HSCHR11_1_CTG8	alt-scaffold	11	Chromosome	KI270832.1	=	NT_187586.1	ALT_REF_LOCI_1	210133	chr11_KI270832v1_alt
HSCHR12_1_CTG2	alt-scaffold	12	Chromosome	GL383549.1	=	NW_003315938.1	ALT_REF_LOCI_1	120804	chr12_GL383549v1_alt
HSCHR12_1_CTG2_1	alt-scaffold	12	Chromosome	GL383550.2	=	NW_003315939.2	ALT_REF_LOCI_1	169178	chr12_GL383550v2_alt
HSCHR12_4_CTG2_1	alt-scaffold	12	Chromosome	GL383551.1	=	NW_003315940.1	ALT_REF_LOCI_1	184319	chr12_GL383551v1_alt
HSCHR12_2_CTG2_1	alt-scaffold	12	Chromosome	GL383552.1	=	NW_003315941.1	ALT_REF_LOCI_1	138655	chr12_GL383552v1_alt
HSCHR12_3_CTG2_1	alt-scaffold	12	Chromosome	GL383553.2	=	NW_003315942.2	ALT_REF_LOCI_1	152874	chr12_GL383553v2_alt
HSCHR12_1_CTG1	alt-scaffold	12	Chromosome	GL877875.1	=	NW_003571049.1	ALT_REF_LOCI_1	167313	chr12_GL877875v1_alt
HSCHR12_2_CTG2	alt-scaffold	12	Chromosome	GL877876.1	=	NW_003571050.1	ALT_REF_LOCI_1	408271	chr12_GL877876v1_alt
HSCHR12_5_CTG2_1	alt-scaffold	12	Chromosome	KI270833.1	=	NT_187589.1	ALT_REF_LOCI_1	76061	chr12_KI270833v1_alt
HSCHR12_6_CTG2_1	alt-scaffold	12	Chromosome	KI270834.1	=	NT_187590.1	ALT_REF_LOCI_1	119498	chr12_KI270834v1_alt
HSCHR12_4_CTG2	alt-scaffold	12	Chromosome	KI270835.1	=	NT_187587.1	ALT_REF_LOCI_1	238139	chr12_KI270835v1_alt
HSCHR12_7_CTG2_1	alt-scaffold	12	Chromosome	KI270836.1	=	NT_187591.1	ALT_REF_LOCI_1	56134	chr12_KI270836v1_alt
HSCHR12_5_CTG2	alt-scaffold	12	Chromosome	KI270837.1	=	NT_187588.1	ALT_REF_LOCI_1	40090	chr12_KI270837v1_alt
HSCHR13_1_CTG1	alt-scaffold	13	Chromosome	KI270838.1	=	NT_187592.1	ALT_REF_LOCI_1	306913	chr13_KI270838v1_alt
HSCHR13_1_CTG2	alt-scaffold	13	Chromosome	KI270839.1	=	NT_187593.1	ALT_REF_LOCI_1	180306	chr13_KI270839v1_alt
HSCHR13_1_CTG3	alt-scaffold	13	Chromosome	KI270840.1	=	NT_187594.1	ALT_REF_LOCI_1	191684	chr13_KI270840v1_alt
HSCHR13_1_CTG4	alt-scaffold	13	Chromosome	KI270841.1	=	NT_187595.1	ALT_REF_LOCI_1	169134	chr13_KI270841v1_alt
HSCHR13_1_CTG5	alt-scaffold	13	Chromosome	KI270842.1	=	NT_187596.1	ALT_REF_LOCI_1	37287	chr13_KI270842v1_alt
HSCHR13_1_CTG6	alt-scaffold	13	Chromosome	KI270843.1	=	NT_187597.1	ALT_REF_LOCI_1	103832	chr13_KI270843v1_alt
HSCHR14_1_CTG1	alt-scaffold	14	Chromosome	KI270844.1	=	NT_187598.1	ALT_REF_LOCI_1	322166	chr14_KI270844v1_alt
HSCHR14_2_CTG1	alt-scaffold	14	Chromosome	KI270845.1	=	NT_187599.1	ALT_REF_LOCI_1	180703	chr14_KI270845v1_alt
HSCHR14_3_CTG1	alt-scaffold	14	Chromosome	KI270846.1	=	NT_187600.1	ALT_REF_LOCI_1	1351393	chr14_KI270846v1_alt
HSCHR14_7_CTG1	alt-scaffold	14	Chromosome	KI270847.1	=	NT_187601.1	ALT_REF_LOCI_1	1511111	chr14_KI270847v1_alt
HSCHR15_1_CTG8	alt-scaffold	15	Chromosome	GL383554.1	=	NW_003315943.1	ALT_REF_LOCI_1	296527	chr15_GL383554v1_alt
HSCHR15_2_CTG8	alt-scaffold	15	Chromosome	GL383555.2	=	NW_003315944.2	ALT_REF_LOCI_1	388773	chr15_GL383555v2_alt
HSCHR15_1_CTG3	alt-scaffold	15	Chromosome	KI270848.1	=	NT_187603.1	ALT_REF_LOCI_1	327382	chr15_KI270848v1_alt
HSCHR15_3_CTG8	alt-scaffold	15	Chromosome	KI270849.1	=	NT_187605.1	ALT_REF_LOCI_1	244917	chr15_KI270849v1_alt
HSCHR15_5_CTG8	alt-scaffold	15	Chromosome	KI270850.1	=	NT_187606.1	ALT_REF_LOCI_1	430880	chr15_KI270850v1_alt
HSCHR15_3_CTG3	alt-scaffold	15	Chromosome	KI270851.1	=	NT_187604.1	ALT_REF_LOCI_1	263054	chr15_KI270851v1_alt
HSCHR15_1_CTG1	alt-scaffold	15	Chromosome	KI270852.1	=	NT_187602.1	ALT_REF_LOCI_1	478999	chr15_KI270852v1_alt
HSCHR16_1_CTG3_1	alt-scaffold	16	Chromosome	GL383556.1	=	NW_003315945.1	ALT_REF_LOCI_1	192462	chr16_GL383556v1_alt
HSCHR16_2_CTG3_1	alt-scaffold	16	Chromosome	GL383557.1	=	NW_003315946.1	ALT_REF_LOCI_1	89672	chr16_GL383557v1_alt
HSCHR16_1_CTG1	alt-scaffold	16	Chromosome	KI270853.1	=	NT_187607.1	ALT_REF_LOCI_1	2659700	chr16_KI270853v1_alt
HSCHR16_CTG2	alt-scaffold	16	Chromosome	KI270854.1	=	NT_187610.1	ALT_REF_LOCI_1	134193	chr16_KI270854v1_alt
HSCHR16_3_CTG1	alt-scaffold	16	Chromosome	KI270855.1	=	NT_187608.1	ALT_REF_LOCI_1	232857	chr16_KI270855v1_alt
HSCHR16_4_CTG1	alt-scaffold	16	Chromosome	KI270856.1	=	NT_187609.1	ALT_REF_LOCI_1	63982	chr16_KI270856v1_alt
HSCHR17_1_CTG5	alt-scaffold	17	Chromosome	GL000258.2	=	NT_167251.2	ALT_REF_LOCI_1	1821992	chr17_GL000258v2_alt
HSCHR17_1_CTG1	alt-scaffold	17	Chromosome	GL383563.3	=	NW_003315952.3	ALT_REF_LOCI_1	375691	chr17_GL383563v3_alt
HSCHR17_1_CTG4	alt-scaffold	17	Chromosome	GL383564.2	=	NW_003315953.2	ALT_REF_LOCI_1	133151	chr17_GL383564v2_alt
HSCHR17_2_CTG4	alt-scaffold	17	Chromosome	GL383565.1	=	NW_003315954.1	ALT_REF_LOCI_1	223995	chr17_GL383565v1_alt
HSCHR17_3_CTG4	alt-scaffold	17	Chromosome	GL383566.1	=	NW_003315955.1	ALT_REF_LOCI_1	90219	chr17_GL383566v1_alt
HSCHR17_4_CTG4	alt-scaffold	17	Chromosome	JH159146.1	=	NW_003871091.1	ALT_REF_LOCI_1	278131	chr17_JH159146v1_alt
HSCHR17_5_CTG4	alt-scaffold	17	Chromosome	JH159147.1	=	NW_003871092.1	ALT_REF_LOCI_1	70345	chr17_JH159147v1_alt
HSCHR17_7_CTG4	alt-scaffold	17	Chromosome	KI270857.1	=	NT_187614.1	ALT_REF_LOCI_1	2877074	chr17_KI270857v1_alt
HSCHR17_8_CTG4	alt-scaffold	17	Chromosome	KI270858.1	=	NT_187615.1	ALT_REF_LOCI_1	235827	chr17_KI270858v1_alt
HSCHR17_9_CTG4	alt-scaffold	17	Chromosome	KI270859.1	=	NT_187616.1	ALT_REF_LOCI_1	108763	chr17_KI270859v1_alt
HSCHR17_1_CTG9	alt-scaffold	17	Chromosome	KI270860.1	=	NT_187612.1	ALT_REF_LOCI_1	178921	chr17_KI270860v1_alt
HSCHR17_1_CTG2	alt-scaffold	17	Chromosome	KI270861.1	=	NT_187611.1	ALT_REF_LOCI_1	196688	chr17_KI270861v1_alt
HSCHR17_2_CTG2	alt-scaffold	17	Chromosome	KI270862.1	=	NT_187613.1	ALT_REF_LOCI_1	391357	chr17_KI270862v1_alt
HSCHR18_1_CTG1_1	alt-scaffold	18	Chromosome	GL383567.1	=	NW_003315956.1	ALT_REF_LOCI_1	289831	chr18_GL383567v1_alt
HSCHR18_1_CTG2	alt-scaffold	18	Chromosome	GL383568.1	=	NW_003315957.1	ALT_REF_LOCI_1	104552	chr18_GL383568v1_alt
HSCHR18_1_CTG2_1	alt-scaffold	18	Chromosome	GL383569.1	=	NW_003315958.1	ALT_REF_LOCI_1	167950	chr18_GL383569v1_alt
HSCHR18_2_CTG1_1	alt-scaffold	18	Chromosome	GL383570.1	=	NW_003315959.1	ALT_REF_LOCI_1	164789	chr18_GL383570v1_alt
HSCHR18_2_CTG2	alt-scaffold	18	Chromosome	GL383571.1	=	NW_003315960.1	ALT_REF_LOCI_1	198278	chr18_GL383571v1_alt
HSCHR18_2_CTG2_1	alt-scaffold	18	Chromosome	GL383572.1	=	NW_003315961.1	ALT_REF_LOCI_1	159547	chr18_GL383572v1_alt
HSCHR18_3_CTG2_1	alt-scaffold	18	Chromosome	KI270863.1	=	NT_187617.1	ALT_REF_LOCI_1	167999	chr18_KI270863v1_alt
HSCHR18_4_CTG1_1	alt-scaffold	18	Chromosome	KI270864.1	=	NT_187618.1	ALT_REF_LOCI_1	111737	chr18_KI270864v1_alt
HSCHR19_1_CTG2	alt-scaffold	19	Chromosome	GL383573.1	=	NW_003315962.1	ALT_REF_LOCI_1	385657	chr19_GL383573v1_alt
HSCHR19_1_CTG3_1	alt-scaffold	19	Chromosome	GL383574.1	=	NW_003315963.1	ALT_REF_LOCI_1	155864	chr19_GL383574v1_alt
HSCHR19_2_CTG2	alt-scaffold	19	Chromosome	GL383575.2	=	NW_003315964.2	ALT_REF_LOCI_1	170222	chr19_GL383575v2_alt
HSCHR19_3_CTG2	alt-scaffold	19	Chromosome	GL383576.1	=	NW_003315965.1	ALT_REF_LOCI_1	188024	chr19_GL383576v1_alt
HSCHR19LRC_COX1_CTG3_1	alt-scaffold	19	Chromosome	GL949746.1	=	NW_003571054.1	ALT_REF_LOCI_1	987716	chr19_GL949746v1_alt
HSCHR19_4_CTG2	alt-scaffold	19	Chromosome	KI270865.1	=	NT_187621.1	ALT_REF_LOCI_1	52969	chr19_KI270865v1_alt
HSCHR19_2_CTG3_1	alt-scaffold	19	Chromosome	KI270866.1	=	NT_187619.1	ALT_REF_LOCI_1	43156	chr19_KI270866v1_alt
HSCHR19_3_CTG3_1	alt-scaffold	19	Chromosome	KI270867.1	=	NT_187620.1	ALT_REF_LOCI_1	233762	chr19_KI270867v1_alt
HSCHR19_5_CTG2	alt-scaffold	19	Chromosome	KI270868.1	=	NT_187622.1	ALT_REF_LOCI_1	61734	chr19_KI270868v1_alt
HSCHR20_1_CTG1	alt-scaffold	20	Chromosome	GL383577.2	=	NW_003315966.2	ALT_REF_LOCI_1	128386	chr20_GL383577v2_alt
HSCHR20_1_CTG2	alt-scaffold	20	Chromosome	KI270869.1	=	NT_187623.1	ALT_REF_LOCI_1	118774	chr20_KI270869v1_alt
HSCHR20_1_CTG3	alt-scaffold	20	Chromosome	KI270870.1	=	NT_187624.1	ALT_REF_LOCI_1	183433	chr20_KI270870v1_alt
HSCHR20_1_CTG4	alt-scaffold	20	Chromosome	KI270871.1	=	NT_187625.1	ALT_REF_LOCI_1	58661	chr20_KI270871v1_alt
HSCHR21_1_CTG1_1	alt-scaffold	21	Chromosome	GL383578.2	=	NW_003315967.2	ALT_REF_LOCI_1	63917	chr21_GL383578v2_alt
HSCHR21_2_CTG1_1	alt-scaffold	21	Chromosome	GL383579.2	=	NW_003315968.2	ALT_REF_LOCI_1	201197	chr21_GL383579v2_alt
HSCHR21_3_CTG1_1	alt-scaffold	21	Chromosome	GL383580.2	=	NW_003315969.2	ALT_REF_LOCI_1	74653	chr21_GL383580v2_alt
HSCHR21_4_CTG1_1	alt-scaffold	21	Chromosome	GL383581.2	=	NW_003315970.2	ALT_REF_LOCI_1	116689	chr21_GL383581v2_alt
HSCHR21_5_CTG2	alt-scaffold	21	Chromosome	KI270872.1	=	NT_187626.1	ALT_REF_LOCI_1	82692	chr21_KI270872v1_alt
HSCHR21_6_CTG1_1	alt-scaffold	21	Chromosome	KI270873.1	=	NT_187627.1	ALT_REF_LOCI_1	143900	chr21_KI270873v1_alt
HSCHR21_8_CTG1_1	alt-scaffold	21	Chromosome	KI270874.1	=	NT_187628.1	ALT_REF_LOCI_1	166743	chr21_KI270874v1_alt
HSCHR22_1_CTG1	alt-scaffold	22	Chromosome	GL383582.2	=	NW_003315971.2	ALT_REF_LOCI_1	162811	chr22_GL383582v2_alt
HSCHR22_1_CTG2	alt-scaffold	22	Chromosome	GL383583.2	=	NW_003315972.2	ALT_REF_LOCI_1	96924	chr22_GL383583v2_alt
HSCHR22_1_CTG3	alt-scaffold	22	Chromosome	KI270875.1	=	NT_187629.1	ALT_REF_LOCI_1	259914	chr22_KI270875v1_alt
HSCHR22_1_CTG4	alt-scaffold	22	Chromosome	KI270876.1	=	NT_187630.1	ALT_REF_LOCI_1	263666	chr22_KI270876v1_alt
HSCHR22_1_CTG5	alt-scaffold	22	Chromosome	KI270877.1	=	NT_187631.1	ALT_REF_LOCI_1	101331	chr22_KI270877v1_alt
HSCHR22_1_CTG6	alt-scaffold	22	Chromosome	KI270878.1	=	NT_187632.1	ALT_REF_LOCI_1	186262	chr22_KI270878v1_alt
HSCHR22_1_CTG7	alt-scaffold	22	Chromosome	KI270879.1	=	NT_187633.1	ALT_REF_LOCI_1	304135	chr22_KI270879v1_alt
HSCHRX_1_CTG3	alt-scaffold	X	Chromosome	KI270880.1	=	NT_187634.1	ALT_REF_LOCI_1	284869	chrX_KI270880v1_alt
HSCHRX_2_CTG12	alt-scaffold	X	Chromosome	KI270881.1	=	NT_187635.1	ALT_REF_LOCI_1	144206	chrX_KI270881v1_alt
HSCHR1_ALT2_1_CTG32_1	alt-scaffold	1	Chromosome	KI270892.1	=	NT_187646.1	ALT_REF_LOCI_2	162212	chr1_KI270892v1_alt
HSCHR2_2_CTG15	alt-scaffold	2	Chromosome	KI270893.1	=	NT_187647.1	ALT_REF_LOCI_2	161218	chr2_KI270893v1_alt
HSCHR2_2_CTG7	alt-scaffold	2	Chromosome	KI270894.1	=	NT_187648.1	ALT_REF_LOCI_2	214158	chr2_KI270894v1_alt
HSCHR3_3_CTG3	alt-scaffold	3	Chromosome	KI270895.1	=	NT_187649.1	ALT_REF_LOCI_2	162896	chr3_KI270895v1_alt
HSCHR4_6_CTG12	alt-scaffold	4	Chromosome	KI270896.1	=	NT_187650.1	ALT_REF_LOCI_2	378547	chr4_KI270896v1_alt
HSCHR5_1_CTG1_1	alt-scaffold	5	Chromosome	KI270897.1	=	NT_187651.1	ALT_REF_LOCI_2	1144418	chr5_KI270897v1_alt
HSCHR5_3_CTG5	alt-scaffold	5	Chromosome	KI270898.1	=	NT_187652.1	ALT_REF_LOCI_2	130957	chr5_KI270898v1_alt
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	Chromosome	GL000251.2	=	NT_113891.3	ALT_REF_LOCI_2	4795265	chr6_GL000251v2_alt
HSCHR7_2_CTG1	alt-scaffold	7	Chromosome	KI270899.1	=	NT_187653.1	ALT_REF_LOCI_2	190869	chr7_KI270899v1_alt
HSCHR8_5_CTG1	alt-scaffold	8	Chromosome	KI270900.1	=	NT_187654.1	ALT_REF_LOCI_2	318687	chr8_KI270900v1_alt
HSCHR8_6_CTG1	alt-scaffold	8	Chromosome	KI270901.1	=	NT_187655.1	ALT_REF_LOCI_2	136959	chr8_KI270901v1_alt
HSCHR11_2_CTG1	alt-scaffold	11	Chromosome	KI270902.1	=	NT_187656.1	ALT_REF_LOCI_2	106711	chr11_KI270902v1_alt
HSCHR11_2_CTG1_1	alt-scaffold	11	Chromosome	KI270903.1	=	NT_187657.1	ALT_REF_LOCI_2	214625	chr11_KI270903v1_alt
HSCHR12_3_CTG2	alt-scaffold	12	Chromosome	KI270904.1	=	NT_187658.1	ALT_REF_LOCI_2	572349	chr12_KI270904v1_alt
HSCHR15_4_CTG8	alt-scaffold	15	Chromosome	KI270905.1	=	NT_187660.1	ALT_REF_LOCI_2	5161414	chr15_KI270905v1_alt
